Technology node (nm);Transistor type;Size (KiB);Associativity;Access mode;Access time (ns);Cycle time (ns);Tag area (mm2);Data area (mm2);Read energy per access (nJ);Write energy per access (nJ); Total Leakage Power (mW)
32;itrs-lop;64;8;sequential;1.1602;0.979917;0.00853608;0.105644;0.0295288;0.038322;8.88273
32;itrs-lop;8192;4;sequential;4.24459;2.00248;0.916032;14.0034;0.576921;0.582589;1118.63
32;itrs-lop;8192;8;sequential;4.24431;2.00248;0.914595;14.0034;0.58028;0.589041;1120.58
32;itrs-lstp;1024;4;sequential;3.90203;2.79805;0.114118;2.00787;0.543441;0.572946;0.43992
32;itrs-lstp;1024;8;sequential;3.88722;2.79805;0.114074;2.00787;0.543954;0.583897;0.44091
32;itrs-lstp;256;4;sequential;2.86393;2.79805;0.0329641;0.464237;0.218262;0.237715;0.096192
32;itrs-lstp;256;8;sequential;2.85301;2.79805;0.0333155;0.464237;0.218608;0.240673;0.0973843
32;itrs-lstp;32;2;fast;1.05772;1.30471;0.00484323;0.0735296;0.132053;0.166116;0.0124099
32;itrs-lstp;32;4;fast;1.19581;2.44571;0.0048553;0.14168;0.48657;0.519304;0.0194142
32;itrs-lstp;64;4;fast;1.34605;2.55798;0.0101609;0.183677;0.492251;0.559931;0.0292465
32;itrs-lstp;64;4;sequential;2.57844;1.57129;0.0101121;0.0995851;0.0474004;0.120308;0.0225462
32;itrs-lstp;64;8;fast;1.6661;2.44571;0.0083282;0.957428;2.83632;2.91893;0.140254
32;itrs-lstp;64;8;sequential;2.53634;1.57129;0.00826554;0.0995851;0.0494936;0.130757;0.0222272
32;itrs-lstp;8192;4;sequential;7.37395;7.33644;0.841281;13.0383;1.5398;1.54708;2.54954
32;itrs-lstp;8192;8;sequential;7.37331;7.33644;0.839034;13.0383;1.54545;1.57743;2.55434
