Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 1048576, 1, 4, 512, 2.82766, 2.05871, N/A, 0.222786, 0.230178, 0.743112, 1.18177, 2, 16, 4, 8, 1, 1, 62.4124, 4, 32, 4, 1, 8, 1, 59.5009, 
22, 1048576, 1, 8, 512, 2.82855, 2.05871, N/A, 0.222193, 0.230742, 0.759951, 1.39905, 2, 16, 4, 8, 1, 1, 62.4124, 8, 16, 4, 1, 2, 1, 56.5708, 
22, 262144, 1, 4, 512, 2.04761, 2.05871, N/A, 0.0919818, 0.0970493, 0.149064, 0.276423, 2, 4, 4, 8, 1, 1, 67.4855, 4, 8, 4, 1, 8, 1, 59.7538, 
22, 262144, 1, 8, 512, 2.04049, 2.05871, N/A, 0.0921174, 0.0982518, 0.151063, 0.276162, 2, 4, 4, 8, 1, 1, 67.4855, 4, 8, 2, 1, 4, 1, 59.0291, 
22, 32768, 1, 2, 512, 0.745223, 0.91871, N/A, 0.0554142, 0.068585, 0.0178274, 0.0458684, 2, 2, 1, 1, 1, 2, 53.1141, 4, 2, 4, 1, 8, 1, 57.2641, 
22, 32768, 1, 4, 512, 0.863631, 1.75237, N/A, 0.202973, 0.215605, 0.0314619, 0.0783685, 2, 2, 1, 1, 1, 2, 27.4246, 4, 2, 2, 1, 4, 1, 57.0732, 
22, 65536, 1, 4, 512, 0.964263, 1.85067, N/A, 0.206499, 0.233035, 0.0440897, 0.101804, 2, 2, 1, 1, 1, 2, 42.3924, 4, 4, 2, 1, 4, 1, 57.9327, 
22, 65536, 1, 4, 512, 1.90973, 1.22051, N/A, 0.021389, 0.050043, 0.0300487, 0.0762118, 2, 2, 1, 2, 1, 1, 78.6979, 4, 4, 2, 1, 4, 1, 58.223, 
22, 65536, 1, 8, 512, 1.2057, 1.75237, N/A, 1.17469, 1.20573, 0.28012, 0.492466, 4, 2, 1, 1, 1, 1, 8.14234, 4, 4, 1, 1, 2, 1, 56.452, 
22, 65536, 1, 8, 512, 1.90601, 1.22051, N/A, 0.0215463, 0.0513989, 0.0310564, 0.0760924, 2, 2, 1, 2, 1, 1, 78.6979, 4, 4, 1, 1, 2, 1, 57.1053, 
22, 8388608, 1, 4, 512, 5.19563, 2.05871, N/A, 0.724474, 0.743111, 4.0872, 8.14496, 8, 32, 16, 16, 1, 1, 71.6407, 16, 128, 16, 16, 1, 1, 49.0033, 
22, 8388608, 1, 8, 512, 5.1973, 2.05871, N/A, 0.723849, 0.744063, 4.14185, 8.2186, 8, 32, 16, 16, 1, 1, 71.6407, 32, 64, 8, 1, 4, 1, 57.9911, 
