Technology node;Transistor type;Size;Associativity;Access mode;Access time;Cycle time;Tag area;Data area;Read energy per access;Write energy per access
22 nm;itrs-lstp;8192 kb;8;sequential;5.1973 ns;2.05871 ns;0.447203 mm2;6.6194 mm2;0.723849 nJ;0.744063 nJ
32 nm;itrs-hp;1024 kb;4;sequential;1.34457 ns;1.63506 ns;0.110178 mm2;2.00199 mm2;0.322174 nJ;0.334899 nJ
32 nm;itrs-hp;1024 kb;8;sequential;1.34338 ns;1.63506 ns;0.112166 mm2;2.00199 mm2;0.322375 nJ;0.337271 nJ
32 nm;itrs-hp;256 kb;4;sequential;0.856557 ns;1.63506 ns;0.0269855 mm2;0.462884 mm2;0.139054 nJ;0.148587 nJ
32 nm;itrs-hp;256 kb;8;sequential;0.854243 ns;1.63506 ns;0.0274899 mm2;0.462884 mm2;0.139339 nJ;0.150993 nJ
32 nm;itrs-hp;32 kb;2;fast;0.287467 ns;0.554091 ns;0.00386673 mm2;0.0729018 mm2;0.0836501 nJ;0.109613 nJ
32 nm;itrs-hp;32 kb;4;fast;0.43002 ns;1.57092 ns;0.00390606 mm2;0.135537 mm2;0.295789 nJ;0.35675 nJ
32 nm;itrs-hp;64 kb;4;fast;0.495345 ns;1.57138 ns;0.00725483 mm2;0.181137 mm2;0.307548 nJ;0.362171 nJ
32 nm;itrs-hp;64 kb;4;sequential;0.705693 ns;0.453771 ns;0.00725483 mm2;0.0994749 mm2;0.0342275 nJ;0.0930863 nJ
32 nm;itrs-hp;64 kb;8;fast;0.609636 ns;1.53443 ns;0.00732469 mm2;0.947206 mm2;1.68333 nJ;1.74872 nJ
32 nm;itrs-hp;64 kb;8;sequential;0.705004 ns;0.453771 ns;0.00732469 mm2;0.0994749 mm2;0.0343726 nJ;0.097986 nJ
32 nm;itrs-hp;8192 kb;4;sequential;2.77089 ns;1.63506 ns;0.756789 mm2;13.9856 mm2;1.04407 nJ;1.08351 nJ
32 nm;itrs-hp;8192 kb;8;sequential;2.77073 ns;1.63506 ns;0.755795 mm2;13.9856 mm2;1.05547 nJ;1.13203 nJ
32 nm;itrs-lop;1024 kb;4;sequential;2.2745 ns;2.00248 ns;0.117008 mm2;2.00705 mm2;0.182668 nJ;0.185587 nJ
32 nm;itrs-lop;1024 kb;8;sequential;2.27305 ns;2.00248 ns;0.117248 mm2;2.00705 mm2;0.182861 nJ;0.189536 nJ
32 nm;itrs-lop;256 kb;4;sequential;1.58394 ns;2.00248 ns;0.0283481 mm2;0.464049 mm2;0.0783809 nJ;0.078614 nJ
32 nm;itrs-lop;256 kb;8;sequential;1.57744 ns;2.00248 ns;0.0285084 mm2;0.464049 mm2;0.0785166 nJ;0.0806285 nJ
